-1.2487,-0.800847,2.26,68,68,68
-1.24625,-0.800847,2.26,69,69,69
-1.2438,-0.800847,2.26,69,69,69
-1.2408,-0.800493,2.259,64,64,64
-1.23835,-0.800493,2.259,63,63,63
-1.2359,-0.800493,2.259,63,63,63
-1.23455,-0.801202,2.261,65,65,65
-1.2321,-0.801202,2.261,65,65,65
-1.22965,-0.801202,2.261,63,63,63
-1.22991,-0.802973,2.266,64,64,64
-1.22746,-0.802973,2.266,64,64,64
-1.225,-0.802973,2.266,62,62,62
-1.22686,-0.805808,2.274,63,63,63
-1.2244,-0.805808,2.274,63,63,63
-1.22193,-0.805808,2.274,63,63,63
-1.22376,-0.808643,2.282,62,62,62
-1.22128,-0.808643,2.282,62,62,62
-1.21881,-0.808643,2.282,62,62,62
-1.22007,-0.811124,2.289,60,60,60
-1.21759,-0.811124,2.289,60,60,60
-1.21511,-0.811124,2.289,61,61,61
-1.21528,-0.812895,2.294,61,61,61
-1.21279,-0.812895,2.294,61,61,61
-1.2103,-0.812895,2.294,60,60,60
-1.2487,-0.798398,2.26,69,69,69
-1.24625,-0.798398,2.26,69,69,69
-1.2438,-0.798398,2.26,69,69,69
-1.2408,-0.798045,2.259,64,64,64
-1.23835,-0.798045,2.259,64,64,64
-1.2359,-0.798045,2.259,63,63,63
-1.23455,-0.798751,2.261,65,65,65
-1.2321,-0.798751,2.261,65,65,65
-1.22965,-0.798751,2.261,70,70,70
-1.22991,-0.800518,2.266,63,63,63
-1.22746,-0.800518,2.266,63,63,63
-1.225,-0.800518,2.266,63,63,63
-1.22686,-0.803344,2.274,66,66,66
-1.2244,-0.803344,2.274,66,66,66
-1.22193,-0.803344,2.274,65,65,65
-1.22376,-0.80617,2.282,64,64,64
-1.22128,-0.80617,2.282,64,64,64
-1.21881,-0.80617,2.282,63,63,63
-1.22007,-0.808643,2.289,63,63,63
-1.21759,-0.808643,2.289,62,62,62
-1.21511,-0.808643,2.289,62,62,62
-1.21528,-0.810409,2.294,61,61,61
-1.21279,-0.810409,2.294,61,61,61
-1.2103,-0.810409,2.294,60,60,60
-1.2487,-0.795949,2.26,69,69,69
-1.24625,-0.795949,2.26,69,69,69
-1.2438,-0.795949,2.26,70,70,70
-1.2408,-0.795597,2.259,66,66,66
-1.23835,-0.795597,2.259,66,66,66
-1.2359,-0.795597,2.259,64,64,64
-1.23455,-0.796301,2.261,64,64,64
-1.2321,-0.796301,2.261,64,64,64
-1.22965,-0.796301,2.261,65,65,65
-1.22991,-0.798062,2.266,66,66,66
-1.22746,-0.798062,2.266,66,66,66
-1.225,-0.798062,2.266,65,65,65
-1.22686,-0.80088,2.274,65,65,65
-1.2244,-0.80088,2.274,65,65,65
-1.22193,-0.80088,2.274,66,66,66
-1.22376,-0.803697,2.282,65,65,65
-1.22128,-0.803697,2.282,64,64,64
-1.21881,-0.803697,2.282,63,63,63
-1.22007,-0.806163,2.289,63,63,63
-1.21759,-0.806163,2.289,62,62,62
-1.21511,-0.806163,2.289,62,62,62
-1.21528,-0.807924,2.294,62,62,62
-1.21279,-0.807924,2.294,63,63,63
-1.2103,-0.807924,2.294,64,64,64
-1.2487,-0.7935,2.26,69,69,69
-1.24625,-0.7935,2.26,69,69,69
-1.2438,-0.7935,2.26,67,67,67
-1.24025,-0.792798,2.258,66,66,66
-1.2378,-0.792798,2.258,66,66,66
-1.23536,-0.792798,2.258,66,66,66
-1.234,-0.7935,2.26,68,68,68
-1.23155,-0.7935,2.26,68,68,68
-1.2291,-0.7935,2.26,67,67,67
-1.22937,-0.795255,2.265,66,66,66
-1.22691,-0.795255,2.265,66,66,66
-1.22446,-0.795255,2.265,65,65,65
-1.22578,-0.797713,2.272,65,65,65
-1.22332,-0.797713,2.272,65,65,65
-1.22086,-0.797713,2.272,66,66,66
-1.22322,-0.800873,2.281,66,66,66
-1.22075,-0.800873,2.281,65,65,65
-1.21828,-0.800873,2.281,62,62,62
-1.21954,-0.803331,2.288,62,62,62
-1.21706,-0.803331,2.288,61,61,61
-1.21458,-0.803331,2.288,61,61,61
